Element,X,Y,Z
Na,0.00,0.00,0.00
Na,0.00,2.82,2.82
Na,2.82,0.00,2.82
Na,2.82,2.82,0.00
Na,0.00,0.00,5.64
Na,0.00,2.82,8.46
Na,2.82,0.00,8.46
Na,2.82,2.82,5.64
Na,0.00,5.64,0.00
Na,0.00,8.46,2.82
Na,2.82,5.64,2.82
Na,2.82,8.46,0.00
Na,0.00,5.64,5.64
Na,0.00,8.46,8.46
Na,2.82,5.64,8.46
O,1.00,1.00,1.00
Na,2.82,8.46,5.64
Cl,2.82,2.82,2.82
Cl,2.82,0.00,0.00
Cl,0.00,2.82,0.00
Cl,0.00,0.00,2.82
Cl,2.82,2.82,8.46
Cl,2.82,0.00,5.64
Cl,0.00,2.82,5.64
Cl,0.00,0.00,8.46
Cl,5.64,2.82,2.82
Cl,5.64,0.00,0.00
H,1.20,1.20,1.20
Cl,2.82,5.64,0.00
Cl,2.82,2.82,5.64
Cl,5.64,2.82,8.46
Cl,5.64,0.00,5.64
Cl,2.82,5.64,5.64
Cl,2.82,2.82,8.46
